Date,Total Expenditure,     Out of pocket,     Health Insurance,          Private Health Insurance,          Medicare,          Medicaid (Title XIX),Year,Month
1995-01-01,1021635,144816,681480,325339,184393,144862,1995,1
1996-01-01,1074409,150354,722124,343686,198750,152170,1996,1
1997-01-01,1135224,161370,758320,359553,210376,160849,1997,1
1998-01-01,1201451,176812,792102,384738,209420,169011,1998,1
1999-01-01,1277700,187575,845592,417078,213173,183455,1999,1
2000-01-01,1369125,198886,918957,457978,224829,200345,2000,1
2001-01-01,1486158,206200,1014390,501939,247686,224092,2001,1
2002-01-01,1628624,219273,1121517,560963,265381,248050,2002,1
2003-01-01,1767567,235635,1221745,615138,282668,268903,2003,1
2004-01-01,1895724,248494,1320086,658268,311122,290679,2004,1
2005-01-01,2023744,263815,1414078,701176,339762,309275,2005,1
2006-01-01,2156158,273254,1517387,737122,403690,306584,2006,1
2007-01-01,2295307,290000,1609250,776176,432751,325746,2007,1
2008-01-01,2399121,295184,1695968,802857,466971,344214,2008,1
2009-01-01,2495414,293723,1796424,832906,498859,374421,2009,1
2010-01-01,2598823,299742,1876922,864344,519787,397226,2010,1
2011-01-01,2689349,309973,1950187,898631,544679,406744,2011,1
2012-01-01,2797260,318330,2022904,928211,569634,422688,2012,1
2013-01-01,2879008,325189,2087804,946398,590163,445361,2013,1
2014-01-01,3026157,330068,2228136,999940,618889,496645,2014,1
2015-01-01,3200815,339315,2382770,1068778,648808,544073,2015,1
2016-01-01,3337248,352537,2486842,1123372,672093,565550,2016,1
