Hospital Info	Year_Data	Date	Total (Billions)	Out of Pocket	Health Insurance	Pvt Health Ins	Medicare	Medicaid	Other Ins Prgm	3rd Party Payers
0	1	2000-01	415.5	13.4	358.2	141	123.4	70.9	22.9	43.9
1	2	2001-01	449.4	13.8	390.7	153.4	135	77.4	24.9	44.8
2	3	2002-01	486.5	15.3	424.4	169.2	143.5	84.4	27.3	46.7
3	4	2003-01	525.9	17	456.7	184.3	150.9	90.3	31.3	52.1
4	5	2004-01	565.3	18.3	492.6	199.5	162.7	96.8	33.6	54.4
5	6	2005-01	608.6	19.7	531.6	215.9	176.4	103.8	35.5	57.3
6	7	2006-01	651.2	21.1	566.9	235.6	184.7	108.8	37.8	63.2
7	8	2007-01	691.9	22.8	599.8	250.5	193.1	117.2	39.1	69.3
8	9	2008-01	725.6	23.6	636.3	264.8	205.5	122.7	43.3	65.7
9	10	2009-01	779.6	25.7	681.6	285.6	214.4	133.4	48.1	72.3
10	11	2010-01	822.3	27.8	714	300.6	220.3	141.8	51.4	80.5
11	12	2011-01	851.9	29.3	740.8	316.7	226.9	143.9	53.3	81.7
12	13	2012-01	902.5	31.8	780.2	337.8	238.2	149.8	54.3	90.5
13	14	2013-01	937.6	33.8	808.1	349.5	246	155.7	56.9	95.7
14	15	2014-01	978.1	32.9	849.3	366.6	252.9	169	60.8	95.9
15	16	2015-01	1033.4	31.2	907.9	400.2	260	183.6	64.1	94.4
16	17	2016-01	1082.5	32.7	951.1	426.7	267.5	189.8	67.1	98.7
