Fertility Data,Date,Race,Race_Black,Race_Other,Live Births,Birth Rate,Fertility Rate
0,2015,All races,1,1,3978497,12.4,62.5
1,2014,All races,1,1,3988076,12.5,62.9
2,2013,All races,1,1,3932181,12.4,62.5
3,2012,All races,1,1,3952841,12.6,63
4,2011,All races,1,1,3953590,12.7,63.2
5,2010,All races,1,1,3999386,13,64.1
6,2009,All races,1,1,4130665,13.5,66.2
7,2008,All races,1,1,4247694,14,68.1
8,2007,All races,1,1,4316233,14.3,69.3
9,2006,All races,1,1,4265555,14.3,68.6
10,2005,All races,1,1,4138349,14,66.7
11,2004,All races,1,1,4112052,14,66.4
12,2003,All races,1,1,4089950,14.1,66.1
13,2002,All races,1,1,4021726,14,65
14,2001,All races,1,1,4025933,14.1,65.1
15,2000,All races,1,1,4058814,14.4,65.9
16,1999,All races,1,1,3959417,14.2,64.4
17,1998,All races,1,1,3941553,14.3,64.3
18,1997,All races,1,1,3880894,14.2,63.6
19,1996,All races,1,1,3891494,14.4,64.1
20,1995,All races,1,1,3899589,14.6,64.6
21,1994,All races,1,1,3952767,15,65.9
22,1993,All races,1,1,4000240,15.4,67
23,1992,All races,1,1,4065014,15.8,68.4
24,1991,All races,1,1,4110907,16.2,69.3
25,1990,All races,1,1,4158212,16.7,70.9
26,1989,All races,1,1,4040958,16.4,69.2
27,1988,All races,1,1,3909510,16,67.3
28,1987,All races,1,1,3809394,15.7,65.8
29,1986,All races,1,1,3756547,15.6,65.4
30,1985,All races,1,1,3760561,15.8,66.3
31,1984,All races,1,1,3669141,15.6,65.5
32,1983,All races,1,1,3638933,15.6,65.7
33,1982,All races,1,1,3680537,15.9,67.3
34,1981,All races,1,1,3629238,15.8,67.3
35,1980,All races,1,1,3612258,15.9,68.4
36,1979,All races,1,1,3494398,15.6,67.2
37,1978,All races,1,1,3333279,15,65.5
38,1977,All races,1,1,3326632,15.1,66.8
39,1976,All races,1,1,3167788,14.6,65
40,1975,All races,1,1,3144198,14.6,66
41,1974,All races,1,1,3159958,14.8,67.8
42,1973,All races,1,1,3136965,14.8,68.8
43,1972,All races,1,1,3258411,15.6,73.1
44,1971,All races,1,1,3555970,17.2,81.6
45,1970,All races,1,1,3731386,18.4,87.9
46,1969,All races,1,1,3600206,17.9,86.1
47,1968,All races,1,1,3501564,17.6,85.2
48,1967,All races,1,1,3520959,17.8,87.2
49,1966,All races,1,1,3606274,18.4,90.8
50,1965,All races,1,1,3760358,19.4,96.3
51,1964,All races,1,1,4027490,21.1,104.7
52,1963,All races,1,1,4098020,21.7,108.3
53,1962,All races,1,1,4167362,22.4,112
54,1961,All races,1,1,4268326,23.3,117.1
55,1960,All races,1,1,4257850,23.7,118
56,2015,American Indian or Alaska Native,0,1,44299,9.7,43.9
57,2014,American Indian or Alaska Native,0,1,44928,9.9,44.8
58,2013,American Indian or Alaska Native,0,1,45991,10.3,46.4
59,2012,American Indian or Alaska Native,0,1,46093,10.5,47
60,2011,American Indian or Alaska Native,0,1,46419,10.7,47.7
61,2010,American Indian or Alaska Native,0,1,46760,11,48.6
62,2009,American Indian or Alaska Native,0,1,48665,11.8,51.6
63,2008,American Indian or Alaska Native,0,1,49537,12.4,54
64,2007,American Indian or Alaska Native,0,1,49443,12.9,55.5
65,2006,American Indian or Alaska Native,0,1,47721,12.9,55.3
66,2005,American Indian or Alaska Native,0,1,44813,12.6,53.6
67,2004,American Indian or Alaska Native,0,1,43927,12.8,54.2
68,2003,American Indian or Alaska Native,0,1,43052,13,54.8
69,2002,American Indian or Alaska Native,0,1,42368,13.2,55.7
70,2001,American Indian or Alaska Native,0,1,41872,13.5,56.8
71,2000,American Indian or Alaska Native,0,1,41668,14,58.7
72,1999,American Indian or Alaska Native,0,1,40170,14.2,59
73,1998,American Indian or Alaska Native,0,1,40272,14.8,61.3
74,1997,American Indian or Alaska Native,0,1,38572,14.7,60.8
75,1996,American Indian or Alaska Native,0,1,37880,14.9,61.8
76,1995,American Indian or Alaska Native,0,1,37278,15.3,63
77,1994,American Indian or Alaska Native,0,1,37740,16,65.8
78,1993,American Indian or Alaska Native,0,1,38732,17,69.7
79,1992,American Indian or Alaska Native,0,1,39453,17.9,73.1
80,1991,American Indian or Alaska Native,0,1,38841,18.3,73.9
81,1990,American Indian or Alaska Native,0,1,39051,18.9,76.2
82,1989,American Indian or Alaska Native,0,1,39478,19.7,79
83,1988,American Indian or Alaska Native,0,1,37088,19.3,76.8
84,1987,American Indian or Alaska Native,0,1,35322,19.1,75.6
85,1986,American Indian or Alaska Native,0,1,34169,19.2,75.9
86,1985,American Indian or Alaska Native,0,1,34037,19.8,78.6
87,1984,American Indian or Alaska Native,0,1,33256,20.1,79.8
88,1983,American Indian or Alaska Native,0,1,32881,20.6,81.8
89,1982,American Indian or Alaska Native,0,1,32436,21.1,83.6
90,1981,American Indian or Alaska Native,0,1,29688,20,79.6
91,1980,American Indian or Alaska Native,0,1,29389,20.7,82.7
92,1979,American Indian or Alaska Native,0,1,34269,,
93,1978,American Indian or Alaska Native,0,1,33160,,
94,1977,American Indian or Alaska Native,0,1,30500,,
95,1976,American Indian or Alaska Native,0,1,29009,,
96,1975,American Indian or Alaska Native,0,1,27546,,
97,1974,American Indian or Alaska Native,0,1,26631,,
98,1973,American Indian or Alaska Native,0,1,26464,,
99,1972,American Indian or Alaska Native,0,1,27368,,
100,1971,American Indian or Alaska Native,0,1,27148,,
101,1970,American Indian or Alaska Native,0,1,25864,,
102,1969,American Indian or Alaska Native,0,1,24008,,
103,1968,American Indian or Alaska Native,0,1,24156,,
104,1967,American Indian or Alaska Native,0,1,22665,,
105,1966,American Indian or Alaska Native,0,1,23014,,
106,1965,American Indian or Alaska Native,0,1,24066,,
107,1964,American Indian or Alaska Native,0,1,24382,,
108,1963,American Indian or Alaska Native,0,1,22358,,
109,1962,American Indian or Alaska Native,0,1,21968,,
110,1961,American Indian or Alaska Native,0,1,21464,,
111,1960,American Indian or Alaska Native,0,1,21114,,
112,2015,Asian or Pacific Islander,0,1,281264,14,58.5
113,2014,Asian or Pacific Islander,0,1,282723,14.6,60.7
114,2013,Asian or Pacific Islander,0,1,265673,14.3,59.2
115,2012,Asian or Pacific Islander,0,1,272802,15.1,62.2
116,2011,Asian or Pacific Islander,0,1,253915,14.5,59.9
117,2010,Asian or Pacific Islander,0,1,246886,14.5,59.2
118,2009,Asian or Pacific Islander,0,1,251089,15.1,61.3
119,2008,Asian or Pacific Islander,0,1,253185,15.7,63.3
120,2007,Asian or Pacific Islander,0,1,254488,16.4,65.3
121,2006,Asian or Pacific Islander,0,1,241045,16,63.7
122,2005,Asian or Pacific Islander,0,1,231108,15.9,63
123,2004,Asian or Pacific Islander,0,1,229123,16.4,64.5
124,2003,Asian or Pacific Islander,0,1,221203,16.4,64.2
125,2002,Asian or Pacific Islander,0,1,210907,16.3,63.3
126,2001,Asian or Pacific Islander,0,1,200279,16.1,62.5
127,2000,Asian or Pacific Islander,0,1,200543,17.1,65.8
128,1999,Asian or Pacific Islander,0,1,180776,15.9,60.9
129,1998,Asian or Pacific Islander,0,1,172652,15.9,60.1
130,1997,Asian or Pacific Islander,0,1,169769,16.2,61.3
131,1996,Asian or Pacific Islander,0,1,165776,16.5,62.3
132,1995,Asian or Pacific Islander,0,1,160287,16.7,62.6
133,1994,Asian or Pacific Islander,0,1,157632,17.1,63.9
134,1993,Asian or Pacific Islander,0,1,152800,17.3,64.3
135,1992,Asian or Pacific Islander,0,1,150250,17.9,66.1
136,1991,Asian or Pacific Islander,0,1,145372,18.3,67.1
137,1990,Asian or Pacific Islander,0,1,141635,19,69.6
138,1989,Asian or Pacific Islander,0,1,133075,18.7,68.2
139,1988,Asian or Pacific Islander,0,1,129035,19.2,70.2
140,1987,Asian or Pacific Islander,0,1,116560,18.4,67.1
141,1986,Asian or Pacific Islander,0,1,107797,18,66
142,1985,Asian or Pacific Islander,0,1,104606,18.7,68.4
143,1984,Asian or Pacific Islander,0,1,98926,18.8,69.2
144,1983,Asian or Pacific Islander,0,1,95713,19.5,71.7
145,1982,Asian or Pacific Islander,0,1,93193,20.3,74.8
146,1981,Asian or Pacific Islander,0,1,84553,20.1,73.7
147,1980,Asian or Pacific Islander,0,1,74355,19.9,73.2
148,2015,Black,1,0,640079,14.3,64
149,2014,Black,1,0,640562,14.5,64.6
